image,title,artist,year,movement
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/%22Un_Bar_aux_Folies-Berg%C3%A8re%22_by_%C3%89douard_Manet_%281882%29.jpg/3840px-%22Un_Bar_aux_Folies-Berg%C3%A8re%22_by_%C3%89douard_Manet_%281882%29.jpg,a bar at the folies-bergere,edouard manet,1882,impressionism / realism
https://images.squarespace-cdn.com/content/v1/57f0b8c859cc68fe6a908fb7/1637375436964-PIBCXKHU6H94XJ4HQ2M2/Childe+Hassam+-+Allies+Day+-+1917.jpeg?format=2500w,"allies day, may 1917",childe hassam,1917,american impressionism
https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcTrFVq6b2Q0YpZW0hjst-yuZCRLMBZE3GqFUTcfukxEaDiWmBLKXtRDnb3EQ15_qB6LY0_sJRxUbYcwGa24,deserted wharf (the old mill at cos cob),john henry twachtman,1900-1902,american impressionism
https://upload.wikimedia.org/wikipedia/commons/f/f3/Rembrandt_Christ_in_the_Storm_on_the_Lake_of_Galilee.jpg,the storm on the sea of galilee,rembrandt van rijn,1633,baroque / dutch golden age
https://upload.wikimedia.org/wikipedia/commons/9/96/GSskater.jpg,the skater,gilbert stuart,1782,neoclassicism
https://upload.wikimedia.org/wikipedia/commons/9/90/Edouard_Manet_-_Luncheon_on_the_Grass_-_Google_Art_Project.jpg,the luncheon on the grass,edouard manet,1863,realism / impressionism / modernism
https://www.wassilykandinsky.net/images/works/50.jpg,composition viii,wassily kandinsky,1923,abstraction / geometric abstraction
https://t3.gstatic.com/licensed-image?q=tbn:ANd9GcRcycqac1eZ4DO7aHOOsRkusS2ILRdNfkjbCvznE0pup61ruboqN1OWTWXuFYFCtrIod_r6gvb_C74qTGy_,roman widow,dante gabriel rossetti,1874,pre-raphaelite / romanticism
https://upload.wikimedia.org/wikipedia/commons/4/46/William_Holman_Hunt_-_The_Hireling_Shepherd.jpg,the hireling shepherd,william holman hunt,1851,pre-raphaelite / romanticism
https://upload.wikimedia.org/wikipedia/commons/4/4b/%C3%9Altima_Cena_-_Da_Vinci_5.jpg,the last supper,leonardo da vinci,1498,high renaissance
https://jhna.org/wp-content/uploads/2017/04/Kaminska6.2FI.jpg,the tower of babel,pieter bruegel the elder,1564,northern renaissance
https://upload.wikimedia.org/wikipedia/commons/5/52/Thomas_Gainsborough_-_Mr_and_Mrs_Andrews.jpg,mr. and mrs. andrews,thomas gainsborough,1750,rococo
https://cdn.britannica.com/24/247324-050-FDB6F14E/Watson-and-the-Shark-oil-on-canvas-1782-John-Singleton-Copley.jpg,watson and the shark,john singleton copley,1778,neoclassicism / romanticism
